ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
4523;23511100;RUA ANA ROSA DE OLIVEIRA ROSSI;27967
4524;23511200;PRAÇA CASA DE PEDRA;27967
4525;23511250;PRAÇA CASA DE PEDRA;27313
4526;23511300;RUA JOSE CINTAS GUTIERRES;27967
4527;23511400;TRAVESSA GERALDO SANCHES LOPES;27967
4528;23520000;RUA HUMBERTO BORTOLO;7971
4529;23520100;RUA ANTONIO ALVAREZ AIRAO;7971
4530;23520200;RUA JOAO DA COSTA SILVA;7971
4531;23520300;RUA MANUEL PEREIRA SAMPAIO;7971
4532;23520400;RUA NARCISO BORTOLO;7971
4533;23520500;RUA CARLOS APRILE;7971
4534;23520600;RUA ANTONINA RONDON;7971
4535;23520700;TRAVESSA BORIS BARNETT;7971
4536;23520800;TRAVESSA LEONARDO MOREIRA;7971
4537;23520900;RUA ANTONIO GONCALVES SILVA;7971
4538;23521000;RUA JOAO DIAS CERQUEIRA;7971
4539;23521100;RUA BENTO PAES DE MORAES;7971
4540;23521200;RUA MANUEL LEITAO AVILEZ;7971
4541;23521300;RUA PEDRO TEZIM;7971
4542;23521400;RUA VICENTE LUIS DE BRITO;7971
4543;23521500;RUA TERESA BORTOLO;7971
4544;23521600;RUA GABRIEL JOSE RODRIGUES;7971
4545;23530000;RUA ITAPETININGA;28147
4546;23530100;RUA JACINTO;28147
4547;23530200;RUA IRUMIRIM;28147
4548;23530300;RUA ITAIPE;28147
4549;23530400;RUA JACARAU;28147
4550;23530500;RUA ITATIRA;28147
4551;23540000;RUA FRANCISCO LUIS DA SILVA;28033
4552;23540100;RUA DIONISIO SOUZA;27967
4553;23540200;RUA CESAR AUGUSTO DA SILVA;27967
4554;23540300;RUA BERNARDO QUINTAO;28033
4555;23540400;RUA CORNELIO SERAFIM;27642
4556;23540500;RUA USHI KAMIA;27865
4557;23540600;RUA ANTONIO GUALTER;28033
4558;23540700;RUA GABRIEL MARTINS;28033
4559;23540800;RUA EDUARDO MESQUITA;28033
4560;23540900;RUA ANTONIO SOARES;28033
4561;23541000;RUA MARTINHO GONCALVES;27967
4562;23541100;RUA MATEUS COELHO;28033
4563;23541200;RUA PEDRO DE ABREU;28033
4564;23541300;PRAÇA MIGUEL BRAGA;28033
4565;23541400;RUA GECEL BUCKMAN;27967
4566;23541500;RUA BONIFACIO MAIA;28033
4567;23541600;RUA AMERICO PARDINI;27967
4568;23541700;RUA CAETANO RUYVO;28033
4569;23541800;RUA BARTOLOMEU MACHADO;28033
4570;23541900;RUA COMENDADOR JOSE PUPO;27967
4571;23542000;RUA RODRIGO DE MATOS;28033
4572;23542100;RUA MIGUEL PEIXOTO;28033
4573;23542200;RUA SOLANO TRINDADE;27967
4574;23542300;RUA TEODESIO FERREIRA;28033
4575;23542400;RUA SALVADOR ALVARES;28033
4576;23542500;TRAVESSA SENHOR BOM JESUS DA LAPA;27908
4577;23542600;RUA FRANCISCO GUIMARAES PEREIRA JUNIOR;27507
4578;23542700;RUA HONORIO PACHECO;28033
4579;23542800;RUA BENEDITO LOURENCO;27642
4580;23542900;RUA ANTONIO SIMPLICIO;28033
4581;23543000;TRAVESSA IARA;27967
4582;23543100;PRAÇA PEDRO FIGUEIREDO;28033
4583;23543200;RUA PROF. MARIA NAZARETH MOURA VERONESE;27967
4584;23543300;RUA NELSON ANTONIO CAMPANELLI;27967
4585;23543400;RUA MARIA VIEIRA;27865
4586;23543500;RUA LUIS INACIO;27865
4587;23543600;RUA LUIS NUNES;28033
4588;23543700;RUA MANOEL SIMOES DA SILVA;28033
4589;23543800;RUA IRINEO VARONI;27865
4590;23543900;RUA LOURDES VIEIRA;27967
4591;23544000;RUA ISABEL VIEIRA;28033
4592;23544100;RUA LUIS MENEZES;28033
4593;23544200;RUA MARCELINO MIRANDA;28033
4594;23544300;RUA ADAO MAGALHAES;28033
4595;23544400;RUA ALFREDO PARDINI;27642
4596;23544500;RUA AGOSTINHO PINHEIRO;28033
4597;23544600;TRAVESSA ALBERTO MORAVIA;27865
4598;23544700;RUA ALBERTO DE DEUS NUNES;27865
4599;23550000;RUA PADRE FRANCISCO AMOS CONNOR;27902
4600;23550100;RUA SEVERINO COELHO;27902
4601;23550200;RUA AGOSTINHO SOARES;27902
4602;23550300;RUA DOMICIANO SOUZA;27902
4603;23550400;RUA ANTONIO MARIA PIRES;27902
4604;23550500;RUA HILARIO MACHADO;27902
4605;23550600;RUA JOAO NICOLAU CHAMMA;27902
4606;23550700;RUA DOMINGOS MUNIZ;27902
4607;23550800;RUA PADRE MOCARI;27902
4608;23550900;RUA SEBASTIAO LEAL;27902
4609;23551000;RUA TOMAS DE BRITO;27902
4610;23551100;RUA DOMINGOS DE QUEIROZ;27902
4611;23551200;RUA DIOGO RIBEIRO;27902
4612;23551300;RUA ANGELO DA COSTA;27902
4613;23551400;RUA PADRE ANDRADE DUGUET;27902
4614;23551500;RUA PAULO PEIXOTO;27902
4615;23551600;RUA MARCIANO;27902
4616;23551700;RUA RODRIGO CARO;27902
4617;23551800;RUA TEODORO LANHOSO;27902
4618;23551900;RUA MICAEL SILVA;27902
4619;23552000;RUA ANTONIO PEDRO FIGUEIREDO;27902
4620;23552100;RUA BENTO SOARES;27902
4621;23552200;RUA AGOSTINHO VIANA;27902
4622;23552300;RUA MANOEL SOARES;27902
4623;23552400;RUA LUIS MOREIRA;27902
4624;23552500;RUA JOAO DE SOUZA DIAS;27902
4625;23552600;RUA ELEUTERIO DA SILVA;27902
4626;23552700;RUA CAETANO TEIXEIRA;27902
4627;23552800;RUA ALEXANDRE MONTEIRO;27902
4628;23552900;RUA SILVERIO DIAS;27902
4629;23553000;RUA RAFAEL DA SILVA;27902
4630;23553100;PRAÇA RAFAEL VIDAL;27902
4631;23553200;PRAÇA CORONEL ALONSO TENORIO DINIZ;27865
4632;23560000;RUA VIEIRA DE MELO;27902
4633;23560100;RUA CAPITAO ANTONIO DI PIETRO;27902
4634;23560200;RUA ANTONIO JOAQUIM DE OLIVEIRA;27902
4635;23560300;RUA ATAQUE;27902
4636;23560400;RUA DO CORREGO;27902
4637;23560500;RUA AIDJOU;27902
4638;23560600;RUA CABITUTU;27902
4639;23560700;RUA BITENCOURT DA SILVA;27902
4640;23560800;RUA ANTONIO LUIS SAIAO;27902
