id;CD_CEP;ID_BAIRRO;NM_LOGRADOURO
9716;3028030;27949;RODOVALHO FONSECA
9717;3028040;27949;SIQUEIRA AFONSO
9718;3028050;27949;PEDROSO DA SILVEIRA
9719;3029000;11120;CORONEL MORAIS
9720;3029010;11120;DR PACHECO E SILVA
9721;3029020;11120;CORONEL SILVA GOMES
9722;3029030;11120;DR ORNELAS
9723;3029040;11120;PADRE LIMA
9724;3029050;11120;QUIXELOS
9725;3029060;11120;JURUA
9726;3029070;11120;PASCOAL MALATESTA
9727;3029080;11120;PAGANINI
9728;3029090;11120;ITAQUI
9729;3030000;11120;PADRE VIEIRA
9730;3030010;11120;XANDE
9731;3030020;11120;DAS OLARIAS
9732;3030030;11120;ALAN KARDEC
9733;3030040;11120;TERESA FRANCISCA MARTIN
9734;3030050;11120;MORRO GRANDE
9735;3030060;11120;VANNUCI
9736;3030070;11120;SAO BIAGIO
9737;3030080;11120;MANOEL DIAS HENRIQUE
9738;3030090;11120;APARECIDA
9739;3030100;11120;DR GUIDEMAR LEINGRUBER
9740;3030110;11120;ESTER MARGARETA BERGSTEN
9741;3030120;11120;LOURENCO FRANCOLINO
9742;3030130;11120;SACRAMENTO
9743;3031000;27949;THIERS
9744;3031010;11120;VICTOR HUGO
9745;3031015;11120;SUZANA
9746;3031030;11120;ALEXANDRINO PEDROSO
9747;3031040;11120;HANNEMANN
9748;3031050;11120;PADRE BENTO
9749;3032000;11120;VAUTHIER
9750;3032005;11120;MANDIA
9751;3032006;11120;CANERO
9752;3032010;11120;CAMOMIL
9753;3032020;11120;CONSELHEIRO DANTAS
9754;3032030;11120;CARNOT
9755;3032040;11120;HERCILIO LUZ
9756;3033000;11120;CANINDE
9757;3033010;11120;PASTEUR
9758;3033020;11120;CRUZEIRO DO SUL
9759;3033030;11120;AFONSO ARINOS
9760;3033040;11120;MADEIRA
9761;3033050;11120;VIDAL NEGREIROS
9762;3033060;11120;ITARIRI
9763;3033070;11120;MANOEL ANTONIO DE ALMEIDA
9764;3033080;11120;ANTONIO AMANDIO FREIRE
9765;3033090;11120;TIETE
